first_name,last_name,phone_number,street,county,email,ID,dob,date,val1,val2,val1_CI
Myles,Jacobs,1-184-895-3288x548,76114 East Boyle Drive,Snohomish County,schmidt.mindi@hahn.net,374-16-8013,1996-01-27,07/30/25,0.879,0.999,0.82-0.88
Hymen,Ziemann,(998)792-3930,8009 Gleichner Ste,Island County,nataly.larkin@gmail.com,830-02-9881,1936-05-08,2024/02/21,0.721,0.753,0.65-0.74
Danniel,Daugherty,+50(2)3784470932,193 NW Graham Ln,Pierce County,myrtice06@hotmail.com,389-26-6724,1939-10-06,2025-04-27,0.923,1,0.9-0.93
Contina,Barrows,+66(5)0326496786,91562 West Virgle Blvd,Yakima County,corine36@yahoo.com,743-38-3431,1991-06-15,07/20/2025,0.913,0.664,0.9-1
Idella,Kuhlman,(094)226-7923,859 Nellie Highway Apt. 612,Kitsap County,camilo08@plc.com,018-37-1375,1985-02-08,2025-02-08,0.55,0.511,0.53-0.56
Spring,Wisozk,503.542.7460x28434,6527 S Koch Boulevard,King County,roslyn21@gmail.com,131-54-6277,1937-05-31,2024/12/20,0.351,0.686,0.33-0.36
Hadley,Gutmann,+37(8)3393734247,53327 Abshire Way West Apt. 674,Pierce County,carlota.buckridge@group.info,205-88-4380,2012-12-27,05/17/2024,1,1,0.95-1
Benton,Reichel,695.023.2149,39646 NE Romaguera Market Apt. 359,Douglas County,ardath42@gmail.com,657-19-4623,1994-10-09,2025/03/03,0.558,0.66,0.53-0.62
Wava,Jerde,07250058045,622 Davie Highway N,Yakima County,caryl.roob@spencer.com,660-55-6568,1931-02-19,2024/07/22,0.495,0.994,0.45-0.5
Elaine,Hessel,507.217.9502x71597,305 South Theophile Pl Apt. 061,Whatcom County,callie.kohler@gmail.com,163-83-6252,2019-03-14,04/01/2024,0.024,0.256,0-0.09
Osborn,Hodkiewicz,081.619.3012,324 Lilburn Avenue SW,Skagit County,heriberto31@erdman.com,668-90-7500,1992-05-07,2025-04-14,0.365,0.728,0.32-0.39
Stafford,Olson,(422)892-3076x45275,6098 30th Ave. West,King County,emit15@yahoo.com,869-31-6234,1933-04-25,2024-08-18,0.283,0.433,0.27-0.29
Vincenza,Batz,08300827591,62923 Dellar Groves Vista,Pierce County,sherman.rippin@bashirian.com,629-39-0640,1960-02-13,2025-01-12,0.998,0.989,0.94-1
Deonte,Franecki,06627730041,93263 Ernestine Prairie Pl E,Pierce County,giles99@plc.com,826-53-0115,2011-11-13,07/30/2025,1,0.998,0.96-1
Derl,Koelpin,1-625-241-5267,5831 NorthEast Lavonne Alley Boulevard,Yakima County,marland.collier@and.com,132-73-6282,1989-05-07,08/04/2024,0.983,0.983,0.96-1
Orpha,Lynch,356-957-7609x52688,2506 E 67th Street Apt. 562,King County,senger.frieda@herman.com,746-16-6992,1941-07-23,12/09/2024,0.304,0.716,0.29-0.36
Meggan,Goldner,534-544-7404x0418,271 SouthWest Runte Hwy,Franklin County,alf.gutmann@hotmail.com,695-61-5010,1997-02-06,2025-07-05,0.206,0.594,0.16-0.26
Rocco,Farrell,01335132492,8489 2nd St W,King  County,iklocko@hotmail.com,855-68-8645,2014-11-16,2024/08/21,0.233,0.236,0.19-0.24
Leonidas,Adams,512.458.5579x3179,38869 North Lolla Vista,Chelan County,hansen.cameron@hotmail.com,753-06-4786,1967-01-04,2024-02-27,0.623,0.635,0.6-0.65
Karson,Crona,636-139-4824x7495,60799 74th Ave. North Apt. 951,Clark County,sydney.ortiz@yahoo.com,126-55-5820,2018-05-13,2025/01/10,0.511,0.202,0.49-0.59
Ivy,Miller,1-848-471-5706,938 Cummings St SW Apt. 009,King County,xharber@and.org,613-37-7445,1980-04-26,2024-01-30,0.505,0.155,0.44-0.51
Terrell,Jenkins,1-994-147-0755x8095,500 East Margarita Market,Pierce County,shyann.herman@ltd.info,482-86-3009,1941-09-16,04/08/2025,0.999,0.887,0.97-1
Becky,Lindgren,+17(5)2238380705,54026 South Ina Parkways Ste,King County,vandervort.ernest@yahoo.com,409-95-0042,1993-05-03,03/30/2025,0.228,0.384,0.22-0.28
Fiona,D'Amore,938-712-4850x586,789 NE Muller Ln,Benton County,hamill.leyla@inc.net,199-74-0793,1930-09-10,08/26/2024,0.248,0.487,0.16-0.25
Edie,Kutch,1-993-700-7438x6724,982 NW Bernhard Blvd,King County,nicolette13@casper.com,559-89-1174,1954-08-26,01/06/24,0.547,0.374,0.53-0.58
Betsey,DuBuque,1-449-983-0788x3446,025 SE Abe Dr Apt. 499,Pierce County,fkertzmann@gmail.com,820-11-8148,1984-12-04,2024-09-13,0.02,0.991,0-0.06
Eli,Swaniawski,845-393-4180x35370,0238 Third St,King County,maybelle95@bechtelar.biz,130-71-5735,2009-03-20,2024/03/17,0.562,0.341,0.54-0.58
Saul,Nolan,(584)473-3403x54790,89824 Cummings Boulevard SW,Snohomish County,arie05@yahoo.com,601-40-7171,1941-01-05,2025-02-19,1,0.722,0.97-1
Cari,Orn,(417)202-2786x66093,3159 Wilderman Alley Apt. 385,Thurston County,ernser.nichol@plc.org,014-70-8282,1984-07-20,2025/06/25,0.68,0,0.65-0.72
Tye,Kunze,1-238-949-0272x787,65220 Gusikowski Avenue,Pierce County,gil.fay@jast.com,137-31-1667,1945-08-21,01/28/2025,0.999,0.997,1-1
Avah,Towne,865-949-2561,923 39th Ave. SouthWest,Skagit County,yolson@strosin.com,231-87-8103,2002-11-19,2024-07-31,0.523,0.454,0.46-0.56
Luke,Hettinger,666-456-7116,0190 55th St SE,Benton County,beer.ilda@hotmail.com,751-86-8672,1939-11-15,2024-08-26,0.251,0.566,0.21-0.26
Allyssa,Rempel,+52(9)0307646826,454 Hammes Rd SE,Snohomish County,gottlieb.elbert@gmail.com,390-40-9849,1955-04-11,2024-05-23,1,0.999,1-1
Latrina,Larson,1-745-643-9218,806 South 29th St.,Kitsap County,lori.harber@leuschke.com,505-04-9179,1998-04-25,2025-08-21,0.041,0.094,0.02-0.08
Frances,Johnston,03331813755,3823 North 47th Avenue Apt. 645,King County,loni55@yahoo.com,671-19-4926,2011-06-11,2025-02-11,0.54,0.606,0.53-0.54
Dabney,Feeney,(888)281-1513x47044,104 Jeffery Dr,Clark County,tobie.brekke@baumbach.com,837-96-6738,1949-08-01,2025-04-29,0.35,0.661,0.35-0.38
Ellie,Hansen,780.875.2002x10138,37405 27th St.,Skagit County,buel.lockman@yahoo.com,057-05-6592,1964-01-25,07/15/2024,0.678,0.257,0.61-0.71
Macarthur,Nikolaus,+22(0)7709158449,0721 SouthEast Langworth Street,Kitsap County,sgreenholt@cummerata.com,714-11-8940,1951-07-14,2024/12/18,0.869,0.656,0.82-0.92
Babette,McLaughlin,907-878-9537,645 North First Ave.,Yakima County,bernhard.annetta@gmail.com,790-55-8568,1987-07-26,06/30/2025,0.525,0.887,0.5-0.56
Osbaldo,Baumbach,05067693550,063 SouthEast Maci Street Apt. 637,Pierce County,elvis90@gmail.com,569-06-8584,2006-09-11,01/30/2025,0.71,1,0.65-0.73
Derrell,Schneider,135.073.8959,075 SouthEast 4th Ave,King County,hetty32@rutherford.com,113-99-2801,1973-09-10,2025-06-10,0.137,0.328,0.11-0.17
Helene,Lindgren,008.896.6714x20217,1291 Braun St SouthEast,Grant County,waelchi.savion@gmail.com,112-24-9559,1934-11-24,12/24/2024,0.277,0.244,0.23-0.29
Siobhan,Ledner,182-058-0183,.,King County,reinger.maddox@cole.com,447-40-2240,1967-10-23,2024/10/16,0.344,0.589,0.32-0.37
Norval,Willms,719.165.0509x4234,35641 14th St,Clark County,lotta88@gleichner.com,550-77-1632,1957-05-17,09/24/2024,0.526,NA,0.51-0.54
Eugenia,Herzog,681-646-8671x495,566  Spinka Highway,Skagit County,kadyn04@carter.net,653-79-6657,1972-07-22,2025-05-10,0.226,NA,0.22-0.29
Dabney,Wintheiser,1-945-582-5850,5252 28th Ave. East,Thurston County,tgislason@upton.com,056-26-9375,1998-05-09,2024-11-24,0.006,0,0-0.02
Doc,Keeling,(877)875-9829,4569 Turcotte Ste SouthEast,Pierce County,keon.jacobi@hotmail.com,291-36-0280,1995-11-11,07/19/2024,0.949,0.889,0.95-0.98
Braelyn,Funk,1-885-526-4141x601,258 17th St,Whatcom County,rosenbaum.betty@yahoo.com,718-33-7088,1931-08-11,01/14/2025,0.264,0.95,0.26-0.28
Aida,Windler,+18(1)4085048105,798 Mayert Hwy,Snohomish County,psimonis@inc.info,182-09-4971,1969-01-02,04/16/24,1,1,1-1
Dell,Rice,(104)292-0963x70608,816 South Denesik Lane,Snohomish County,karyme.harvey@group.net,557-70-6241,1972-07-05,06/19/2025,0.993,1,0.98-1
Burrel,Reynolds,00886024343,86871 29th Ave. Apt. 483,King County,ckovacek@ltd.com,319-33-1396,1993-12-23,2025-02-14,0.356,0.649,0.29-0.38
Sannie,Kovacek,(729)076-0513x90140,18869 31th St. North,Pierce County,williamson.lennon@yahoo.com,262-09-7783,1971-12-22,2024/08/18,0.956,1,0.95-0.97
Jack,Rau,715-684-4859x16109,20911 NorthEast Trinity Lane,Snohomish County,hconsidine@yahoo.com,016-05-4412,1997-08-19,2025/08/06,0.967,1,0.91-0.98
Asberry,Ryan,809-646-8458x599,7857 Cherise Rd South,Adams County,haley.sibyl@gmail.com,451-49-9111,1983-08-07,2025/08/07,0.603,0.256,0.56-0.62
Jonna,Wisozk,1-402-436-7222x71942,08113 SouthWest Labadie Street,Pierce County,lester.watsica@llc.biz,710-39-4943,2015-05-12,07/19/2025,1,0.362,1-1
Lindsay,Friesen,641-589-2747,613 NE Tana Boulevard,Snohomish County,deckow.rand@and.com,183-46-8858,2022-11-14,2025/03/16,0.639,0.378,0.63-0.64
Dwaine,Predovic,741.944.9760,70127 3rd Ave,Pierce County,schroeder.jakobe@llc.com,658-78-2560,2009-11-24,06/25/2025,1,0.999,0.99-1
Tobias,Powlowski,04864993728,09751 Boyer Vista NorthEast,Pierce County,kate82@gerlach.com,029-83-9704,1964-01-27,2025-06-05,0.842,1,0.77-0.85
Azariah,Heller,536.801.7190x042,59110 South Pouros Rd,Yakima County,auer.lovey@kerluke.net,364-49-2713,1963-03-11,01/06/24,0.95,N/A,0.91-1
Presley,O'Reilly,(007)472-3025x949,433 Leah Branch Apt. 608 Place Apt. 608,King County,lupe76@inc.com,463-90-6554,1981-04-11,2024/11/30,0.887,0.604,0.87-0.95
Adalberto,Larson,643-032-7733x08135,41070 S Armani Ave,Pierce County,vschumm@zemlak.org,141-76-9015,2016-07-22,04/15/2024,0.97,1,0.94-1
Milissa,Stoltenberg,+30(5)0895503384,9612 NorthWest Nicky Well Pl,King County,lemma79@gmail.com,492-54-6619,2016-05-02,08/21/24,0.134,0.431,0.12-0.14
Jean,Dach,1-979-508-4941x398,4724 Zulauf St,Snohomish County,illa81@thiel.com,825-49-8883,2022-11-09,2024/01/25,1,1,0.96-1
Isam,Reinger,472-829-4421x014,7183 NorthEast Farrell Place Apt. 092,King County,pmann@yahoo.com,459-94-7757,1971-12-22,2025-04-02,0.397,0.18,0.36-0.43
Alanzo,Huels,330.437.1555x4888,90610 Alberto Blvd,Skagit County,scummerata@mayert.com,806-18-9983,1942-10-21,05/19/2024,0.303,0.304,0.29-0.31
Jonathan,Berge,1-477-898-2844,4819 NorthWest 16th St.,Lewis County,tito.koss@zieme.com,593-15-5176,1950-10-29,2024-09-18,0.481,0.314,0.41-0.48
Maida,Bradtke,1-505-190-6469x44015,810 Bednar Dr Apt. 265,Pierce County,odin91@reichel.net,043-88-7824,1962-03-26,2025/02/08,1,1,0.94-1
Davion,Terry,+05(9)4144691121,031 Tobie St,Yakima County,lolita.okuneva@ltd.com,146-59-9446,1946-10-22,06/18/24,0.682,0.978,0.64-0.7
Vikki,Buckridge,980.472.8007,075 Dicki Drive,Pierce County,terry.luciana@littel.org,083-06-2045,2024-04-11,07/24/2025,0.974,1,0.96-1
Chantal,Wolff,004-920-4623x148,85526 Hyatt Avenue South Apt. 283,Whatcom County,wiegand.jackson@larkin.com,407-49-9489,1990-10-16,2025-07-29,0.117,0.006,0.05-0.22
Joyce,Harber,1-024-597-2114,169 18th Avenue SE,Clark County,uwilderman@gmail.com,295-37-4003,1998-07-18,2025-02-28,0.334,0.354,0.26-0.35
Kristopher,Dibbert,569-338-5313,8286 Jeramie Vista,Skamania County,dickinson.alyson@ruecker.net,762-24-9991,1936-11-26,12/24/2024,0.942,0.79,0.94-1
Beulah,Weimann,+59(8)6382128726,986 SW Andrea Rd Apt. 548,Clark County,mignon53@plc.com,130-21-0368,1989-02-08,01/09/24,0.453,0.485,0.42-0.48
Jenna,Gibson,(763)470-4851,0891 SW Windler Alley,Snohomish County,ken.greenholt@gislason.com,646-51-1275,1939-07-09,02/04/2024,1,0.999,0.97-1
Barb,Collier,846-185-2934x66368,406 Turner Road SouthEast,Snohomish County,qsipes@inc.com,787-21-9224,1971-06-24,02/18/2025,1,1,0.96-1
Ronin,Torp,1-525-721-8311,8234 41th Street,Yakima County,deonta37@gmail.com,693-63-0126,1982-03-20,2025/06/11,0.886,0.281,0.83-0.9
Ashlie,Crooks,636-989-7552x6400,695 NW Bins Drive,Garfield County,vbotsford@plc.com,175-03-1160,2010-04-01,12/14/2024,0.751,0.657,0.73-0.83
Joana,Goldner,09647240891,65326 S 13th Ave,Clark County,fhand@daniel.com,391-15-2412,1970-03-25,12/05/2024,0.501,0.78,0.49-0.56
Ciji,Bosco,972.944.9780x816,7382 S Schneider Ranch Road,Snohomish County,vonrueden.nada@gmail.com,102-68-4095,1936-05-11,2025-01-04,1,0.989,0.99-1
Sampson,Rohan,1-230-847-9842x926,68222 Spurgeon Highway,King County,robbie09@hotmail.com,478-04-2959,2001-12-20,05/13/2024,0.606,0.054,0.58-0.62
Starling,Abernathy,640-097-0148x59258,30819  Nicolas Unions Street,Spokane County,considine.reatha@moen.com,770-20-1172,1943-04-07,08/08/2025,0.337,.,0.33-0.4
Halsey,Hodkiewicz,406.128.3658,71148 Dooley Highway South Apt. 895,Spokane County,caitlyn72@sporer.com,794-92-1680,1948-08-17,07/16/2025,0.553,0.466,0.54-0.58
Derrick,Jaskolski,1-514-373-8946x27374,09090 West Caroline Blvd,King County,roger13@bartoletti.org,129-61-6480,2010-04-01,07/07/2025,0.677,0.043,0.61-0.7
Bonnie,Purdy,763.335.4916,94670 SW Nathaly Lane,Walla Walla County,ursula.morissette@gmail.com,112-04-2087,1964-06-25,2024-08-21,0.011,NA,0-0.02
Jade,Altenwerth,1-794-560-9407x644,34043 SW Gisselle Avenue,Clark County,bertram58@auer.org,110-76-2898,1987-08-06,08/15/2025,0.726,0.408,0.61-0.78
Vicie,Konopelski,00840353237,36503 North 28th Ave.,Franklin County,langosh.zayne@gutkowski.org,013-40-6841,1977-12-24,12/21/24,0.385,0.568,0.37-0.39
Martine,Hilll,(962)470-0585x56661,7399 SW 72th Ave.,Clark County,koelpin.dyan@yahoo.com,471-06-6641,1942-04-16,2024/09/06,0.55,0.222,0.47-0.55
Olie,Bayer,(653)600-6497x5087,0858 51th Ave.,King County,qabernathy@yahoo.com,642-24-4945,1994-09-06,2025-05-22,0.812,0.196,0.74-0.87
Tori,Kozey,+15(1)0504846077,611 Powlowski Landing Market SouthEast,Clark County,schmidt.harrold@gmail.com,643-60-4783,1995-07-09,12/26/24,0.579,0.692,0.55-0.58
Thomasina,Senger,(650)349-7875x710,77880 1st Avenue West,Spokane County,ezekiel.weber@yahoo.com,380-36-5570,1956-07-07,03/04/2024,0.544,0.653,0.54-0.57
Aryanna,O'Connell,167.273.8400,3857 Kuvalis Boulevard NW,Kittitas County,kimberely.stamm@nitzsche.com,253-54-6014,1949-07-27,05/02/2024,0.009,0.061,0-0.07
Lacie,Kiehn,1-463-186-2904x798,75327 Manda Street SouthEast,King County,lesia99@yahoo.com,398-84-8890,1964-12-14,2025-08-29,0.031,0.508,0.01-0.03
Marco,Glover,736-762-7285x93541,32221 65th Ave West,Thurston County,jleuschke@gmail.com,700-35-5739,2012-01-22,2025-01-28,0.01,0,0-0.01
Lular,Champlin,(424)771-1107,628 Marla Road,Grant County,spinka.zion@llc.com,038-30-6016,1967-12-10,2024-11-11,0.157,0.332,0.15-0.16
Percy,Goodwin,188.649.2316x136,047 Lesch St South Apt. 963,Snohomish County,reinger.angelica@connelly.info,252-76-6523,1951-08-24,01/16/2025,1,0.347,0.99-1
Howard,Armstrong,243-479-9680,308 SE Wintheiser Place,Whitman County,amado30@yahoo.com,078-62-7112,1945-03-12,2025-06-24,0.556,1,0.52-0.59
Orah,Cummings,545.230.5721x94244,7603 NE Moen Drive,Pacific County,ernie.russel@murphy.info,758-39-8868,2023-03-15,2024-10-09,0.44,0.151,0.41-0.46
Rhett,Kertzmann,06624286534,71772 Cornelious Spurs Road SE,Grant County,dickinson.don@veum.com,143-75-6219,1963-04-22,04/28/2024,0.284,0.186,0.27-0.34
Ray,Lueilwitz,(580)658-0076x118,84979 Jovany Boulevard North Apt. 752,Pierce County,rob14@yahoo.com,096-11-7159,1945-08-14,01/26/2025,0.86,1,0.83-0.88
Regis,Sawayn,(791)783-0940,9503 NorthWest Prohaska Ln Apt. 789,Pierce County,rosemary20@gmail.com,858-34-4453,2022-05-04,2025/03/04,1,1,0.98-1
Serina,Orn,806-203-0620x7158,10254 Charls St SE Apt. 354,Clark County,tromp.amerigo@zieme.com,353-42-7493,1992-03-14,12/24/24,0.642,0.688,0.6-0.72
Verna,Greenfelder,(285)634-5534x1077,7322 Gorczany Market  Apt. 575,Spokane County,ryker.abbott@yahoo.com,706-45-7322,1954-04-22,2024-10-14,0.189,0.661,0.17-0.23
Delila,Marquardt,08812946332,35356 Kub Pike Ave SW,Spokane County,theta63@gmail.com,711-32-6016,1994-01-14,2024-06-30,0.246,0.426,0.17-0.32
Evelina,Rippin,461.257.2110,422 Otis Forge Apt. 994 Way Apt. 994,King County,klocko.dwaine@hotmail.com,770-53-8409,2000-01-17,12/19/2024,0.171,0.182,0.14-0.18
Charle,Schamberger,910.216.4751x985,0490 Moen Pl E,King County,dgrimes@ltd.org,118-50-9474,2005-07-07,08/10/2024,0.535,0.59,0.53-0.54
Baron,Bechtelar,673-483-5669x751,506 NorthEast Lou Avenue,Pierce County,xpadberg@daugherty.org,218-47-6590,2022-08-03,08/27/2025,0.783,1,0.73-0.85
Simpson,Morar,03295585766,454 Pfeffer Vista,Yakima County,jkling@donnelly.com,640-59-1289,1955-12-16,2024-05-04,0.787,0.854,0.77-0.79
Angelique,Roberts,477.944.4126,25942 59th Ave. N,King County,audriana87@beahan.com,606-64-7926,1966-04-27,09/02/2024,0.736,0.794,0.73-0.74
Mellisa,Bahringer,108-666-1608x537,9835 W Wilkinson Pike Street,King County,cassin.danniel@and.info,029-05-6043,1936-10-27,04/30/2025,0.21,0.479,0.21-0.26
Cari,Larkin,340-102-6824x586,71464 Metha Vista,Snohomish County,freeda.ortiz@gmail.com,648-47-5834,1946-10-20,2024-06-10,0.682,.,0.67-0.72
Lindsay,Konopelski,1-051-053-4861,857 S Normand Dr,King County,dtorp@lindgren.com,031-55-3361,1972-04-01,07/15/2024,0.607,0.371,0.55-0.62
Harvey,Fisher,1-432-805-5160,198 NorthEast Jonatan Blvd,Snohomish  County,tatianna.waelchi@gaylord.com,341-99-1662,1959-04-21,07/04/2025,0.878,0.593,0.85-0.96
Azzie,Thompson,475.394.9816,7571 Nora Lane East Apt. 355,Spokane County,gdietrich@gmail.com,217-85-7006,1969-01-17,2024/12/31,0.773,0.254,0.72-0.79
Allison,Anderson,376-699-8649x126,50152 Flatley Turnpike Place E,Snohomish County,wuckert.carolee@frami.org,057-27-0712,2007-06-21,2024-02-20,1,0.993,0.96-1
Luana,Medhurst,131-662-0706,58440 SE Koelpin Blvd Apt. 213,Franklin County,elvira07@grant.biz,860-27-8416,1978-10-31,10/31/2024,0.565,0.875,0.52-0.64
Maybell,Gleason,885-252-7117x457,9614 NW Lexus Place Apt. 650,Clark County,stroman.alda@daugherty.org,817-78-1247,1970-08-03,08/20/2025,0.424,0.63,0.42-0.44
